time,open,high,low,close,symbol,volume,quote_volume,ÕÇµø·ù,Õñ·ù,ÉÏÕÇ,ÏÂµø,Dc_2,ApzUpper_2,Turtle_2,ÉÏÕÇÊýÁ¿,ÏÂµøÊýÁ¿,ÉÏÕÇ±ÈÀý,rank_Dc_2,rank_ÕÇµø·ù,rank_Õñ·ù,rank_sum,rank
2022-06-10 11:59:00,9.017,9.573,7.816,8.241,UNFI-USDT,46824283.7,404636367.2252,-0.08605966507707663,0.1948541643562161,0,1,0.20208177583529824,0.0,0.0,30,133,0.18404907975460122,8.0,1.0,4.0,13.0,1.0
2022-06-29 23:59:00,6.252000000000001,6.27,5.461,5.561,UNFI-USDT,34974003.7,204342247.3338,-0.11052463211772245,0.12939859245041574,0,1,0.23568370890881182,0.0,0.0,76,88,0.4634146341463415,3.0,1.0,5.0,9.0,1.0
2022-07-03 11:59:00,6.191,6.895,5.627999999999999,5.657,UNFI-USDT,63133159.8,382823239.1317,-0.08610662358642973,0.20465191406880961,0,1,0.3484332425068119,0.9999999982813413,0.0,28,137,0.1696969696969697,2.0,1.0,1.0,4.0,1.0
2022-07-07 11:59:00,6.164,6.2620000000000005,5.854,5.992000000000001,UNFI-USDT,17181220.5,103766369.6003,-0.02790395846852678,0.06619078520441278,0,1,0.10458151206087096,0.0,0.0,119,48,0.7125748502994012,11.0,3.0,15.0,29.0,1.0
2022-07-12 23:59:00,6.178,6.37,5.6,5.811,UNFI-USDT,21395745.0,129601184.4645,-0.0592520641087908,0.12463580446746528,0,1,0.14046156400464901,0.0,-0.4154369986897058,5,162,0.029940119760479042,3.0,7.0,1.0,11.0,1.0
2022-07-13 11:59:00,5.812,5.92,5.61,5.897,UNFI-USDT,13834693.7,80271895.644,0.014799518155222957,0.05333792154163792,1,0,0.128654970760234,0.0,0.0,165,4,0.9763313609467456,2.0,8.0,80.0,90.0,1.0
2021-03-23 23:59:00,32.8164,37.0032,30.282,31.0137,UNI-USDT,14362425.0,479914979.2974,-0.054837854393519625,0.20481222803232527,0,1,0.19978241871912394,0.9999999996999135,-2.8323626187255937,43,57,0.43,10.0,2.0,9.0,21.0,1.0
2022-07-11 23:59:00,6.143,6.252,5.217,5.563,UNI-USDT,19878019.0,112841390.401,-0.09412147858654951,0.1684844538499105,0,1,0.1836539298459397,0.9999999980229773,-6.020832706163258,5,162,0.029940119760479042,1.0,2.0,1.0,4.0,1.0
2021-06-23 11:59:00,0.07173,0.0843,0.06786,0.078,VET-USDT,1606345272.0,125530491.3689,0.08741112505227933,0.22919280635717268,1,0,0.343782581497185,0.0,0.7555543562629267,114,0,1.0,10.0,39.0,17.0,66.0,1.0
2021-06-07 11:59:00,16.301,16.8,15.566,15.713,WAVES-USDT,4020668.0,64462574.248,-0.036189658345089915,0.07570087724679468,0,1,0.09927837305926089,0.0,0.0,97,14,0.8738738738738738,22.0,1.0,14.0,37.0,1.0
2021-07-30 23:59:00,15.66,17.214,15.636,16.258,WAVES-USDT,3565894.0,58484304.6726,0.03805388839228696,0.10076628352490417,1,0,0.10781522637524102,0.9999999988303819,3.911110821399195,115,1,0.9913793103448276,33.0,7.0,18.0,58.0,1.0
2022-01-27 11:59:00,10.24,10.427,9.41,9.86,WAVES-USDT,11012624.5,107740186.5526,-0.03739138924143326,0.09931640624999995,0,1,0.18584923848081736,0.0,0.0,58,84,0.4084507042253521,18.0,3.0,17.0,38.0,1.0
2022-01-29 11:59:00,10.103,10.382,9.483,9.886,WAVES-USDT,3978766.7,39415882.8077,-0.021188118811881207,0.08898347025635941,0,1,0.11080614008335873,0.999999986988511,0.0,135,7,0.9507042253521126,32.0,2.0,7.0,41.0,1.0
2022-03-14 11:59:00,26.59,27.248,25.112,26.443,WAVES-USDT,11095179.8,289293061.7084,-0.005752744773650176,0.08033095148552098,0,1,0.12914641187536094,0.0,-0.1774941974768643,135,9,0.9375,7.0,7.0,16.0,30.0,1.0
2022-04-03 23:59:00,50.671,53.6,44.307,46.813,WAVES-USDT,10548649.2,509010665.0056,-0.07613822502022849,0.18339878826153025,0,1,0.18983320906574602,0.9999999996582376,-0.521717042108921,108,39,0.7346938775510204,5.0,1.0,1.0,7.0,1.0
2022-04-04 11:59:00,46.821,47.091,42.043,42.717,WAVES-USDT,8371107.1,371807437.9984,-0.08749706278170599,0.10781486939621114,0,1,0.2416695419424318,0.0,-1.0616899920640506,19,128,0.1292517006802721,1.0,2.0,8.0,11.0,1.0
2022-04-04 23:59:00,42.716,43.009,32.882,34.69,WAVES-USDT,46467711.9,1707435196.2753,-0.18791113608165366,0.23707744170802514,0,1,0.3553449289135084,0.999999997724826,-1.0091777709213254,41,106,0.2789115646258503,1.0,1.0,4.0,6.0,1.0
